"V1","V2","V3"
-0.9945,11.908,0
-0.9709,11.8617,0
-0.9745,11.887,0
-1.0269,11.8715,0
-0.9693,11.8586,0
-0.9235,11.9385,0
-0.9217,11.9283,0
-0.8709,11.9647,0
-0.8679,11.9676,0
-0.9271,11.9441,0
-0.7934,11.9765,0
-0.8054,11.9652,0
-0.7723,11.9895,0
-0.8015,11.9537,0
-0.7794,12.0078,0
-0.6994,12.0108,0
-0.6796,12.006,0
-0.685,12.0099,0
-0.7064,11.9963,0
-0.7239,12.0033,0
-0.5877,12.0765,0
-0.5838,12.0579,0
-0.6099,12.0302,0
-0.6213,12.059,0
-0.6222,12.055,0
-0.4908,12.1124,0
-0.5013,12.0583,0
-0.501,12.1081,0
-0.5128,12.0568,0
-0.4971,12.0537,0
-0.3813,12.0931,0
-0.4087,12.1205,0
-0.421,12.103,0
-0.3999,12.1135,0
-0.43,12.1329,0
-0.3268,12.104,0
-0.3057,12.1206,0
-0.3131,12.1196,0
-0.3094,12.1559,0
-0.2682,12.0946,0
-0.2097,12.1641,0
-0.2153,12.1729,0
-0.2017,12.1605,0
-0.2077,12.1123,0
-0.2162,12.1083,0
-0.093,12.1744,0
-0.1074,12.1742,0
-0.1318,12.1586,0
-0.0757,12.1577,0
-0.1162,12.1619,0
-0.0068,12.1639,0
-0.0277,12.1595,0
-0.0113,12.1199,0
-0.0109,12.1632,0
-0.0097,12.1178,0
0.0992,12.122,0
0.1001,12.1546,0
0.1049,12.1263,0
0.1235,12.1807,0
0.087,12.1474,0
0.2262,12.1545,0
0.1764,12.1446,0
0.1904,12.1134,0
0.2311,12.1728,0
0.1981,12.1513,0
0.3226,12.12,0
0.3285,12.133,0
0.2744,12.1092,0
0.3209,12.1551,0
0.2766,12.1001,0
0.4071,12.0841,0
0.3884,12.1329,0
0.3798,12.1246,0
0.3986,12.108,0
0.4237,12.1055,0
0.4769,12.0957,0
0.5012,12.0567,0
0.5051,12.0938,0
0.4894,12.1015,0
0.4762,12.0627,0
0.5964,12.0617,0
0.5873,12.0344,0
0.6055,12.029,0
0.5944,12.0636,0
0.6081,12.0833,0
0.733,12.022,0
0.7151,12.0474,0
0.7039,12.006,0
0.7104,11.9915,0
0.7269,12.0146,0
0.8208,11.9648,0
0.7857,11.9824,0
0.8176,11.9512,0
0.7793,12.0079,0
0.831,11.9987,0
0.8985,11.9334,0
0.933,11.9178,0
0.9056,11.9484,0
0.8983,11.9391,0
0.9306,11.9337,0
1.0325,11.8955,0
0.9802,11.8943,0
0.9824,11.8651,0
1.017,11.9069,0
0.986,11.9014,0
0.0208,11.898,1
0.0306,11.8678,1
0.0328,11.8915,1
0.0147,11.9007,1
-0.0066,11.8503,1
0.1103,11.8402,1
0.0766,11.812,1
0.1303,11.8044,1
0.1148,11.8279,1
0.1066,11.8331,1
0.2007,11.7534,1
0.172,11.7573,1
0.2094,11.7946,1
0.2201,11.789,1
0.2166,11.7949,1
0.2715,11.7197,1
0.2859,11.7431,1
0.3007,11.7263,1
0.2767,11.7015,1
0.2679,11.7381,1
0.4037,11.7053,1
0.4254,11.6843,1
0.4154,11.6909,1
0.37,11.6978,1
0.381,11.7115,1
0.5133,11.695,1
0.487,11.6942,1
0.5174,11.6963,1
0.5116,11.6533,1
0.5099,11.6919,1
0.6089,11.6647,1
0.6184,11.6698,1
0.5839,11.6408,1
0.5724,11.6169,1
0.582,11.6341,1
0.6931,11.6128,1
0.6817,11.6503,1
0.6748,11.6335,1
0.7146,11.633,1
0.7252,11.6137,1
0.7949,11.6328,1
0.7978,11.618,1
0.7862,11.5895,1
0.7761,11.5808,1
0.8214,11.5825,1
0.8719,11.6106,1
0.8844,11.6203,1
0.9222,11.5772,1
0.9328,11.5854,1
0.9161,11.5784,1
1.0075,11.6118,1
0.9983,11.5669,1
1.0083,11.6017,1
0.9929,11.6075,1
1.0117,11.602,1
1.1165,11.6163,1
1.1226,11.6195,1
1.0927,11.6056,1
1.0912,11.5711,1
1.1243,11.5721,1
1.2253,11.587,1
1.213,11.5875,1
1.1908,11.6112,1
1.2089,11.6134,1
1.1952,11.628,1
1.2916,11.601,1
1.3245,11.626,1
1.295,11.6221,1
1.3146,11.6238,1
1.3286,11.6464,1
1.3931,11.6372,1
1.3787,11.6191,1
1.4272,11.6199,1
1.3992,11.6682,1
1.4274,11.6588,1
1.4668,11.6319,1
1.5117,11.6908,1
1.5239,11.6928,1
1.4777,11.6855,1
1.5244,11.6808,1
1.6151,11.7054,1
1.5711,11.7166,1
1.583,11.6616,1
1.6307,11.6626,1
1.6127,11.6876,1
1.7128,11.7356,1
1.7167,11.732,1
1.7171,11.7052,1
1.7321,11.728,1
1.6931,11.7263,1
1.802,11.7973,1
1.8136,11.7777,1
1.8313,11.7578,1
1.82,11.7934,1
1.8205,11.7899,1
1.9303,11.7842,1
1.9289,11.8283,1
1.9251,11.8382,1
1.8864,11.8093,1
1.8859,11.7931,1
2.0035,11.87,1
1.9774,11.8864,1
1.9821,11.8429,1
2.0238,11.8804,1
2.0252,11.8685,1
