1,2,3
1.76E-01,6.22E-01,1.00E+00
1.67E-01,6.09E-01,1.00E+00
1.63E-01,6.07E-01,1.00E+00
1.68E-01,6.03E-01,1.00E+00
1.47E-01,5.90E-01,1.00E+00
1.81E-01,5.84E-01,1.00E+00
1.67E-01,5.86E-01,1.00E+00
1.57E-01,5.70E-01,1.00E+00
1.61E-01,5.46E-01,1.00E+00
1.68E-01,5.58E-01,1.00E+00
1.52E-01,5.48E-01,1.00E+00
1.80E-01,5.31E-01,1.00E+00
1.77E-01,5.46E-01,1.00E+00
1.82E-01,5.35E-01,1.00E+00
1.78E-01,5.22E-01,1.00E+00
1.77E-01,5.22E-01,1.00E+00
1.77E-01,5.19E-01,1.00E+00
1.92E-01,5.12E-01,1.00E+00
2.02E-01,4.82E-01,1.00E+00
1.90E-01,5.01E-01,1.00E+00
2.12E-01,4.86E-01,1.00E+00
1.99E-01,4.72E-01,1.00E+00
2.27E-01,4.69E-01,1.00E+00
2.00E-01,4.70E-01,1.00E+00
2.16E-01,4.78E-01,1.00E+00
2.21E-01,4.65E-01,1.00E+00
2.31E-01,4.64E-01,1.00E+00
2.44E-01,4.44E-01,1.00E+00
2.39E-01,4.33E-01,1.00E+00
2.34E-01,4.23E-01,1.00E+00
2.45E-01,4.11E-01,1.00E+00
2.53E-01,4.30E-01,1.00E+00
2.46E-01,4.15E-01,1.00E+00
2.58E-01,3.98E-01,1.00E+00
2.74E-01,4.12E-01,1.00E+00
2.72E-01,3.98E-01,1.00E+00
2.76E-01,3.92E-01,1.00E+00
2.79E-01,4.06E-01,1.00E+00
2.95E-01,3.91E-01,1.00E+00
3.07E-01,3.84E-01,1.00E+00
2.97E-01,3.85E-01,1.00E+00
3.17E-01,3.80E-01,1.00E+00
2.97E-01,3.59E-01,1.00E+00
3.22E-01,3.91E-01,1.00E+00
3.32E-01,3.60E-01,1.00E+00
3.36E-01,3.78E-01,1.00E+00
3.35E-01,3.84E-01,1.00E+00
3.51E-01,3.68E-01,1.00E+00
3.41E-01,3.67E-01,1.00E+00
3.55E-01,3.52E-01,1.00E+00
3.77E-01,3.56E-01,1.00E+00
3.80E-01,3.53E-01,1.00E+00
3.81E-01,3.38E-01,1.00E+00
3.96E-01,3.63E-01,1.00E+00
4.22E-01,3.63E-01,1.00E+00
4.08E-01,3.55E-01,1.00E+00
3.86E-01,3.69E-01,1.00E+00
4.25E-01,3.59E-01,1.00E+00
4.21E-01,3.56E-01,1.00E+00
4.36E-01,3.49E-01,1.00E+00
4.15E-01,3.49E-01,1.00E+00
4.58E-01,3.47E-01,1.00E+00
4.46E-01,3.47E-01,1.00E+00
4.63E-01,3.50E-01,1.00E+00
4.87E-01,3.49E-01,1.00E+00
4.83E-01,3.52E-01,1.00E+00
4.95E-01,3.56E-01,1.00E+00
4.83E-01,3.51E-01,1.00E+00
4.87E-01,3.48E-01,1.00E+00
4.89E-01,3.55E-01,1.00E+00
5.26E-01,3.69E-01,1.00E+00
5.37E-01,3.64E-01,1.00E+00
5.03E-01,3.76E-01,1.00E+00
5.29E-01,3.84E-01,1.00E+00
5.52E-01,3.82E-01,1.00E+00
5.33E-01,3.82E-01,1.00E+00
5.58E-01,3.92E-01,1.00E+00
5.51E-01,3.92E-01,1.00E+00
5.54E-01,3.77E-01,1.00E+00
5.87E-01,3.80E-01,1.00E+00
5.82E-01,4.02E-01,1.00E+00
5.93E-01,4.02E-01,1.00E+00
5.96E-01,4.07E-01,1.00E+00
5.78E-01,4.07E-01,1.00E+00
6.15E-01,4.18E-01,1.00E+00
5.98E-01,4.22E-01,1.00E+00
6.31E-01,4.30E-01,1.00E+00
6.20E-01,4.42E-01,1.00E+00
6.12E-01,4.55E-01,1.00E+00
6.27E-01,4.25E-01,1.00E+00
6.30E-01,4.25E-01,1.00E+00
6.26E-01,4.72E-01,1.00E+00
6.42E-01,4.55E-01,1.00E+00
6.38E-01,4.57E-01,1.00E+00
6.41E-01,4.66E-01,1.00E+00
6.50E-01,4.73E-01,1.00E+00
